                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6045,                 2.8492,                 2.2751,                0.00321,                0.87368,                0.80007,                0.41093,                 1.1396,                  3.493,                 2.0393,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.5906,                 2.2773,                 2.2364,                 0.2615,                 0.8307,                0.70591,                0.36363,                 1.4141,                 3.4373,                 2.1749,             0.00034314,             0.00034314,             0.00034314
                      3,                 1.6399,                 2.2257,                 2.2837,                      1,                0.43539,                0.81444,                0.48911,                 1.1906,                 3.1307,                 2.0755,             0.00051232,             0.00051232,             0.00051232
                      4,                 1.5783,                 2.0507,                 2.2484,                0.80519,                0.58246,                0.76717,                0.40944,                 1.4207,                  2.984,                 2.2489,             0.00067423,             0.00067423,             0.00067423
                      5,                 1.5719,                 2.0443,                 2.1957,                0.75384,                0.65877,                0.78613,                0.47453,                 1.2901,                 2.6484,                 2.1559,             0.00082889,             0.00082889,             0.00082889
                      6,                 1.5301,                 1.9947,                 2.2205,                0.88029,                0.76178,                0.82829,                0.47553,                 1.4918,                 2.3722,                 2.3156,             0.00097628,             0.00097628,             0.00097628
                      7,                 1.5432,                 1.9133,                 2.1651,                 0.9184,                 0.6973,                0.81773,                0.50014,                 1.5823,                 2.3231,                 2.3277,              0.0011164,              0.0011164,              0.0011164
                      8,                 1.5631,                 1.9563,                 2.2275,                0.80499,                0.83693,                0.80824,                0.47418,                 1.4154,                 2.4282,                 2.2225,              0.0012493,              0.0012493,              0.0012493
                      9,                 1.6463,                 2.0098,                  2.279,                0.85279,                0.80944,                0.82041,                0.43884,                 1.5793,                 2.3699,                 2.4175,              0.0013749,              0.0013749,              0.0013749
                     10,                 1.5818,                 1.8989,                 2.2278,                0.87561,                0.77807,                0.84291,                0.55222,                 1.2364,                 2.1188,                 2.0562,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.534,                 1.8234,                 2.1825,                0.77195,                0.74211,                 0.7991,                0.49661,                 1.3409,                   2.29,                 2.0915,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.5551,                 1.7934,                 2.1477,                0.93843,                0.65101,                  0.804,                0.49853,                  1.339,                 2.2975,                 2.0982,              0.0013039,              0.0013039,              0.0013039
